Unnamed: 0,SAMPID,근무 시작 시점 (년),근무 시작 시점 (월),직업 코드 (세분류),직업 코드 (대분류),아버지 직업 (고용직업분류),아버지 직업 (표준직업분류),아버지 종사상지위,아버지 최종학력 변동 여부,아버지 최종학교,어머니 최종학교,어머니 직업 (고용직업분류),어머니 직업 (표준직업분류),주택 종류,"주택 면적 (비단독주택, 평)"
7728,107730,2021.0,8.0,295.0,0.0,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,24.0
7731,107733,2022.0,9.0,5322.0,5.0,8.0,7.0,3.0,1.0,,,10.0,11.0,2.0,28.0
7733,107735,2021.0,9.0,6151.0,6.0,7.0,4.0,3.0,1.0,,,10.0,11.0,2.0,28.0
7736,107738,2022.0,6.0,1532.0,1.0,7.0,7.0,3.0,1.0,,,5.0,4.0,2.0,29.0
7737,107739,2022.0,10.0,5613.0,5.0,0.0,3.0,1.0,1.0,,,0.0,3.0,2.0,24.0
7740,107742,2021.0,11.0,2401.0,2.0,0.0,4.0,1.0,1.0,,,8.0,8.0,6.0,9090909.0
7741,107743,2021.0,11.0,5240.0,5.0,2.0,3.0,1.0,1.0,,,2.0,4.0,2.0,9090909.0
7750,107752,2020.0,4.0,263.0,0.0,7.0,7.0,3.0,1.0,,,7.0,7.0,2.0,32.0
7752,107754,2018.0,3.0,2402.0,2.0,2.0,3.0,1.0,1.0,,,2.0,3.0,2.0,49.0
7754,107756,2019.0,2.0,6244.0,6.0,6.0,4.0,1.0,1.0,,,0.0,4.0,2.0,46.0
7755,107757,2022.0,6.0,272.0,0.0,0.0,4.0,3.0,1.0,,,10.0,11.0,2.0,45.0
7756,107758,2021.0,7.0,221.0,0.0,0.0,4.0,3.0,1.0,,,10.0,11.0,2.0,45.0
7758,107760,2020.0,3.0,5321.0,5.0,0.0,3.0,1.0,1.0,,,0.0,2.0,2.0,24.0
7762,107764,2022.0,3.0,295.0,0.0,0.0,2.0,1.0,1.0,,,0.0,2.0,2.0,33.0
7763,107765,2022.0,2.0,5322.0,5.0,0.0,2.0,1.0,1.0,,,5.0,2.0,2.0,33.0
7766,107768,2021.0,8.0,263.0,0.0,7.0,4.0,3.0,1.0,,,0.0,4.0,2.0,25.0
7769,107771,2022.0,8.0,6161.0,6.0,0.0,3.0,1.0,1.0,,,1.0,3.0,2.0,9090909.0
7771,107773,2017.0,3.0,282.0,0.0,0.0,3.0,1.0,1.0,,,0.0,3.0,3.0,24.0
7772,107774,2015.0,6.0,283.0,0.0,1.0,4.0,1.0,1.0,,,5.0,9.0,3.0,9090909.0
7774,107776,2014.0,9.0,1531.0,1.0,6.0,4.0,3.0,1.0,,,6.0,4.0,3.0,38.0
7775,107777,2019.0,3.0,254.0,0.0,0.0,3.0,1.0,1.0,,,0.0,4.0,2.0,32.0
7776,107778,2022.0,3.0,263.0,0.0,7.0,9.0,1.0,1.0,,,3.0,2.0,2.0,20.0
7777,107779,2022.0,3.0,5322.0,5.0,0.0,3.0,1.0,1.0,,,0.0,3.0,2.0,24.0
7778,107780,2020.0,4.0,291.0,0.0,6.0,7.0,1.0,1.0,,,6.0,8.0,2.0,28.0
7779,107781,2022.0,1.0,6179.0,6.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7781,107783,2021.0,11.0,6241.0,6.0,7.0,9.0,1.0,1.0,,,5.0,4.0,2.0,9090909.0
